slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
taylojo01,Johnny Taylor,SMALL FORWARD,23,ORLANDO MAGIC,12,108,4.4,0.431,0.054,0.432,4.3,10.0,7.1,1.6,1.5,1.3,15.4,22.1,-0.2,0.1,-0.1,-0.032,-8.0,-1.6,-9.6,-0.2,False
tayloma01,Maurice Taylor,POWER FORWARD,21,LOS ANGELES CLIPPERS,71,1513,16.1,0.521,0.001,0.361,8.8,13.5,11.1,6.6,1.2,1.8,12.0,26.1,1.5,0.3,1.8,0.057,-1.5,-2.4,-3.8,-0.7,False
thomaca01,Carl Thomas,SHOOTING GUARD,28,GOLDEN STATE WARRIORS,10,139,11.0,0.447,0.323,0.154,3.0,4.7,3.8,12.0,1.9,0.5,8.0,23.7,0.0,0.1,0.1,0.019,-1.9,-0.7,-2.6,0.0,False
thomaca01,Carl Thomas,SHOOTING GUARD,28,ORLANDO MAGIC,4,15,27.8,0.765,0.0,0.4,0.0,0.0,0.0,15.4,0.0,4.8,0.0,18.0,0.1,0.0,0.1,0.271,10.9,2.5,13.4,0.1,False
thomaca01,Carl Thomas,SHOOTING GUARD,28,CLEVELAND CAVALIERS,29,272,10.0,0.508,0.543,0.186,2.7,13.8,8.3,5.4,3.1,1.4,13.7,14.9,0.0,0.5,0.5,0.092,-2.1,2.2,0.1,0.1,False
thomajo02,John Thomas,POWER FORWARD,22,BOSTON CELTICS,33,368,10.2,0.571,0.0,0.413,9.4,13.3,11.2,5.4,2.7,1.9,25.9,15.0,0.0,0.4,0.4,0.054,-4.1,0.6,-3.5,-0.1,False
thomajo02,John Thomas,POWER FORWARD,22,TORONTO RAPTORS,21,167,6.8,0.509,0.0,0.636,10.3,14.0,12.1,3.6,0.9,1.2,23.5,14.5,0.0,0.0,0.0,-0.009,-6.0,-3.0,-9.1,-0.3,False
thomaku01,Kurt Thomas,POWER FORWARD,25,DALLAS MAVERICKS,5,73,6.4,0.399,0.0,0.067,11.9,24.9,18.3,8.4,0.7,0.0,17.8,35.3,-0.3,0.1,-0.2,-0.161,-11.5,-5.3,-16.8,-0.3,False
thomati01,Tim Thomas,SMALL FORWARD,20,PHILADELPHIA 76ERS,77,1779,14.9,0.538,0.25,0.338,6.9,11.8,9.3,9.3,1.6,0.7,13.1,22.8,2.1,1.3,3.4,0.091,0.7,-1.2,-0.5,0.7,False
thompbr01,Brooks Thompson,POINT GUARD,27,PHOENIX SUNS,13,46,11.4,0.459,0.593,0.111,2.6,9.9,6.3,11.5,4.6,0.0,15.0,32.8,-0.1,0.1,0.0,-0.034,-4.0,0.8,-3.2,0.0,False
thompbr01,Brooks Thompson,POINT GUARD,27,NEW YORK KNICKS,17,121,11.2,0.529,0.483,0.172,0.0,10.0,5.0,32.3,2.7,0.6,26.1,16.4,0.0,0.2,0.2,0.084,-2.9,1.5,-1.4,0.0,False
